@RELATION pacman

@ATTRIBUTE pacman_x NUMERIC
@ATTRIBUTE pacman_y NUMERIC
@ATTRIBUTE can_Stop {True, False}
@ATTRIBUTE can_North {True, False}
@ATTRIBUTE can_East {True, False}
@ATTRIBUTE can_South {True, False}
@ATTRIBUTE can_West {True, False}
@ATTRIBUTE ghost1_x NUMERIC
@ATTRIBUTE ghost1_y NUMERIC
@ATTRIBUTE ghost2_x NUMERIC
@ATTRIBUTE ghost2_y NUMERIC
@ATTRIBUTE ghost3_x NUMERIC
@ATTRIBUTE ghost3_y NUMERIC
@ATTRIBUTE ghost4_x NUMERIC
@ATTRIBUTE ghost4_y NUMERIC
@ATTRIBUTE ghost1_dist NUMERIC
@ATTRIBUTE ghost2_dist NUMERIC
@ATTRIBUTE ghost3_dist NUMERIC
@ATTRIBUTE ghost4_dist NUMERIC
@ATTRIBUTE num_food NUMERIC
@ATTRIBUTE nearest_food_dist NUMERIC
@ATTRIBUTE pacman_direction {North, South, East, West, Stop}
@ATTRIBUTE action {North, South, East, West, Stop}
@ATTRIBUTE score NUMERIC
@ATTRIBUTE score_change NUMERIC
@ATTRIBUTE next_pacman_x NUMERIC
@ATTRIBUTE next_pacman_y NUMERIC
@ATTRIBUTE next_direction {North, South, East, West, Stop}
@ATTRIBUTE next_nearest_food_dist NUMERIC
@ATTRIBUTE next_ghost1_dist NUMERIC
@ATTRIBUTE next_ghost2_dist NUMERIC
@ATTRIBUTE next_ghost3_dist NUMERIC
@ATTRIBUTE next_ghost4_dist NUMERIC
@ATTRIBUTE next_num_food NUMERIC

@DATA
12,10,True,True,True,True,True,5,8,5,14,13,6,13,12,9.0,11.0,5.0,3.0,1,?,Stop,Stop,-5,-1.0,12,10,Stop,?,9.0,11.0,5.0,3.0,1
12,10,True,True,True,True,True,5,8,5,14,13,6,13,12,9.0,11.0,5.0,3.0,1,?,Stop,Stop,-6,0.0,12,10,Stop,?,10.0,11.0,5.0,3.0,1
12,10,True,True,True,True,True,5,8,5,14,13,6,13,12,10.0,11.0,5.0,3.0,1,?,Stop,Stop,-6,0.0,12,10,Stop,?,10.0,10.0,5.0,3.0,1
12,10,True,True,True,True,True,5,7,5,14,13,6,13,12,10.0,10.0,5.0,3.0,1,?,Stop,Stop,-6,0.0,12,10,Stop,?,10.0,10.0,5.0,3.0,1
12,10,True,True,True,True,True,5,7,6,14,13,6,13,12,10.0,10.0,5.0,3.0,1,?,Stop,Stop,-6,0.0,12,10,Stop,?,10.0,10.0,5.0,2.0,1
12,10,True,True,True,True,True,5,7,6,14,13,6,13,12,10.0,10.0,5.0,2.0,1,?,Stop,Stop,-6,-1.0,12,10,Stop,?,10.0,10.0,5.0,2.0,1
12,10,True,True,True,True,True,5,7,6,14,13,6,13,11,10.0,10.0,5.0,2.0,1,?,Stop,Stop,-7,0.0,12,10,Stop,?,9.0,10.0,5.0,2.0,1
12,10,True,True,True,True,True,5,7,6,14,13,6,13,11,9.0,10.0,5.0,2.0,1,?,Stop,Stop,-7,0.0,12,10,Stop,?,9.0,9.0,5.0,2.0,1
12,10,True,True,True,True,True,6,7,6,14,13,6,13,11,9.0,9.0,5.0,2.0,1,?,Stop,Stop,-7,0.0,12,10,Stop,?,9.0,9.0,5.0,2.0,1
12,10,True,True,True,True,True,6,7,6,13,13,6,13,11,9.0,9.0,5.0,2.0,1,?,Stop,Stop,-7,0.0,12,10,Stop,?,9.0,9.0,5.0,3.0,1
12,10,True,True,True,True,True,6,7,6,13,13,6,13,11,9.0,9.0,5.0,3.0,1,?,Stop,Stop,-7,-1.0,12,11,North,?,10.0,8.0,6.0,2.0,1
12,11,True,True,True,True,True,6,7,6,13,13,6,14,11,10.0,8.0,6.0,2.0,1,?,North,North,-8,0.0,12,11,North,?,11.0,8.0,6.0,2.0,1
12,11,True,True,True,True,True,6,7,6,13,13,6,14,11,11.0,8.0,6.0,2.0,1,?,North,North,-8,0.0,12,11,North,?,11.0,9.0,6.0,2.0,1
12,11,True,True,True,True,True,5,7,6,13,13,6,14,11,11.0,9.0,6.0,2.0,1,?,North,North,-8,0.0,12,11,North,?,11.0,9.0,7.0,2.0,1
12,11,True,True,True,True,True,5,7,6,14,13,6,14,11,11.0,9.0,7.0,2.0,1,?,North,North,-8,0.0,12,11,North,?,11.0,9.0,7.0,3.0,1
12,11,True,True,True,True,True,5,7,6,14,13,5,14,11,11.0,9.0,7.0,3.0,1,?,North,North,-8,-1.0,12,12,North,?,12.0,8.0,8.0,4.0,1
12,12,True,True,True,True,True,5,7,6,14,13,5,14,10,12.0,8.0,8.0,4.0,1,?,North,North,-9,0.0,12,12,North,?,13.0,8.0,8.0,4.0,1
12,12,True,True,True,True,True,5,7,6,14,13,5,14,10,13.0,8.0,8.0,4.0,1,?,North,North,-9,0.0,12,12,North,?,13.0,9.0,8.0,4.0,1
12,12,True,True,True,True,True,4,7,6,14,13,5,14,10,13.0,9.0,8.0,4.0,1,?,North,North,-9,0.0,12,12,North,?,13.0,9.0,9.0,4.0,1
12,12,True,True,True,True,True,4,7,5,14,13,5,14,10,13.0,9.0,9.0,4.0,1,?,North,North,-9,0.0,12,12,North,?,13.0,9.0,9.0,3.0,1
12,12,True,True,True,True,True,4,7,5,14,13,4,14,10,13.0,9.0,9.0,3.0,1,?,North,North,-9,-1.0,12,13,North,?,14.0,8.0,10.0,4.0,1
12,13,True,True,True,True,True,4,7,5,14,13,4,13,10,14.0,8.0,10.0,4.0,1,?,North,North,-10,0.0,12,13,North,?,13.0,8.0,10.0,4.0,1
12,13,True,True,True,True,True,4,7,5,14,13,4,13,10,13.0,8.0,10.0,4.0,1,?,North,North,-10,0.0,12,13,North,?,13.0,8.0,10.0,4.0,1
12,13,True,True,True,True,True,4,8,5,14,13,4,13,10,13.0,8.0,10.0,4.0,1,?,North,North,-10,0.0,12,13,North,?,13.0,8.0,11.0,4.0,1
12,13,True,True,True,True,True,4,8,5,14,13,4,13,10,13.0,8.0,11.0,4.0,1,?,North,North,-10,0.0,12,13,North,?,13.0,8.0,11.0,5.0,1
12,13,True,True,True,True,True,4,8,5,14,14,4,13,10,13.0,8.0,11.0,5.0,1,?,North,North,-10,-1.0,12,12,South,?,12.0,9.0,10.0,4.0,1
12,12,True,True,True,True,True,4,8,5,14,14,4,13,9,12.0,9.0,10.0,4.0,1,?,South,South,-11,0.0,12,12,South,?,12.0,9.0,10.0,4.0,1
12,12,True,True,True,True,True,4,8,5,14,14,4,13,9,12.0,9.0,10.0,4.0,1,?,South,South,-11,0.0,12,12,South,?,12.0,8.0,10.0,4.0,1
12,12,True,True,True,True,True,4,8,5,14,14,4,13,9,12.0,8.0,10.0,4.0,1,?,South,South,-11,0.0,12,12,South,?,12.0,8.0,11.0,4.0,1
12,12,True,True,True,True,True,4,8,6,14,14,4,13,9,12.0,8.0,11.0,4.0,1,?,South,South,-11,0.0,12,12,South,?,12.0,8.0,11.0,5.0,1
12,12,True,True,True,True,True,4,8,6,14,14,3,13,9,12.0,8.0,11.0,5.0,1,?,South,South,-11,-1.0,13,12,East,?,13.0,9.0,10.0,4.0,1
13,12,True,True,True,True,True,4,8,6,14,14,3,13,8,13.0,9.0,10.0,4.0,1,?,East,East,-12,0.0,13,12,East,?,12.0,9.0,10.0,4.0,1
13,12,True,True,True,True,True,4,8,6,14,14,3,13,8,12.0,9.0,10.0,4.0,1,?,East,East,-12,0.0,13,12,East,?,12.0,9.0,10.0,4.0,1
13,12,True,True,True,True,True,5,8,6,14,14,3,13,8,12.0,9.0,10.0,4.0,1,?,East,East,-12,0.0,13,12,East,?,12.0,9.0,9.0,4.0,1
13,12,True,True,True,True,True,5,8,6,14,14,3,13,8,12.0,9.0,9.0,4.0,1,?,East,East,-12,0.0,13,12,East,?,12.0,9.0,9.0,5.0,1
13,12,True,True,True,True,True,5,8,6,14,13,3,13,8,12.0,9.0,9.0,5.0,1,?,East,East,-12,-1.0,14,12,East,?,13.0,10.0,10.0,4.0,1
14,12,True,True,True,True,True,5,8,6,14,13,3,14,8,13.0,10.0,10.0,4.0,1,?,East,East,-13,0.0,14,12,East,?,14.0,10.0,10.0,4.0,1
14,12,True,True,True,True,True,5,8,6,14,13,3,14,8,14.0,10.0,10.0,4.0,1,?,East,East,-13,0.0,14,12,East,?,14.0,9.0,10.0,4.0,1
14,12,True,True,True,True,True,4,8,6,14,13,3,14,8,14.0,9.0,10.0,4.0,1,?,East,East,-13,0.0,14,12,East,?,14.0,9.0,10.0,4.0,1
14,12,True,True,True,True,True,4,8,7,14,13,3,14,8,14.0,9.0,10.0,4.0,1,?,East,East,-13,0.0,14,12,East,?,14.0,9.0,10.0,3.0,1
14,12,True,True,True,True,True,4,8,7,14,13,3,14,8,14.0,9.0,10.0,3.0,1,?,East,East,-13,-1.0,15,12,East,?,15.0,10.0,11.0,4.0,1
15,12,True,True,True,True,True,4,8,7,14,13,3,14,9,15.0,10.0,11.0,4.0,1,?,East,East,-14,0.0,15,12,East,?,14.0,10.0,11.0,4.0,1
15,12,True,True,True,True,True,4,8,7,14,13,3,14,9,14.0,10.0,11.0,4.0,1,?,East,East,-14,0.0,15,12,East,?,14.0,9.0,11.0,4.0,1
15,12,True,True,True,True,True,4,9,7,14,13,3,14,9,14.0,9.0,11.0,4.0,1,?,East,East,-14,0.0,15,12,East,?,14.0,9.0,10.0,4.0,1
15,12,True,True,True,True,True,4,9,7,13,13,3,14,9,14.0,9.0,10.0,4.0,1,?,East,East,-14,0.0,15,12,East,?,14.0,9.0,10.0,5.0,1
15,12,True,True,True,True,True,4,9,7,13,13,4,14,9,14.0,9.0,10.0,5.0,1,?,East,East,-14,-1.0,15,11,South,?,13.0,10.0,9.0,4.0,1
15,11,True,True,True,True,True,4,9,7,13,13,4,13,9,13.0,10.0,9.0,4.0,1,?,South,South,-15,0.0,15,11,South,?,13.0,10.0,9.0,4.0,1
15,11,True,True,True,True,True,4,9,7,13,13,4,13,9,13.0,10.0,9.0,4.0,1,?,South,South,-15,0.0,15,11,South,?,13.0,9.0,9.0,4.0,1
15,11,True,True,True,True,True,4,9,7,13,13,4,13,9,13.0,9.0,9.0,4.0,1,?,South,South,-15,0.0,15,11,South,?,13.0,9.0,8.0,4.0,1
15,11,True,True,True,True,True,4,9,7,12,13,4,13,9,13.0,9.0,8.0,4.0,1,?,South,South,-15,0.0,15,11,South,?,13.0,9.0,8.0,4.0,1
15,11,True,True,True,True,True,4,9,7,12,13,5,13,9,13.0,9.0,8.0,4.0,1,?,South,South,-15,-1.0,15,10,South,?,12.0,10.0,7.0,3.0,1
15,10,True,True,True,True,True,4,9,7,12,13,5,13,9,12.0,10.0,7.0,3.0,1,?,South,South,-16,0.0,15,10,South,?,11.0,10.0,7.0,3.0,1
15,10,True,True,True,True,True,4,9,7,12,13,5,13,9,11.0,10.0,7.0,3.0,1,?,South,South,-16,0.0,15,10,South,?,11.0,9.0,7.0,3.0,1
15,10,True,True,True,True,True,5,9,7,12,13,5,13,9,11.0,9.0,7.0,3.0,1,?,South,South,-16,0.0,15,10,South,?,11.0,9.0,6.0,3.0,1
15,10,True,True,True,True,True,5,9,8,12,13,5,13,9,11.0,9.0,6.0,3.0,1,?,South,South,-16,0.0,15,10,South,?,11.0,9.0,6.0,3.0,1
15,10,True,True,True,True,True,5,9,8,12,14,5,13,9,11.0,9.0,6.0,3.0,1,?,South,South,-16,-1.0,15,9,South,?,10.0,10.0,5.0,2.0,1
15,9,True,True,True,True,True,5,9,8,12,14,5,13,9,10.0,10.0,5.0,2.0,1,?,South,South,-17,0.0,15,9,South,?,10.0,10.0,5.0,2.0,1
15,9,True,True,True,True,True,5,9,8,12,14,5,13,9,10.0,10.0,5.0,2.0,1,?,South,South,-17,0.0,15,9,South,?,10.0,9.0,5.0,2.0,1
15,9,True,True,True,True,True,5,9,8,12,14,5,13,9,10.0,9.0,5.0,2.0,1,?,South,South,-17,0.0,15,9,South,?,10.0,9.0,6.0,2.0,1
